category,from,to
kpnall,42,kpnall_equatorial_rainforest_monsoonal
kpnall,41,kpnall_equatorial_savanna
kpnall,37,kpnall_tropical_rainforest_persistently_wet
kpnall,36,kpnall_tropical_rainforest_monsoonal
kpnall,35,kpnall_tropical_savanna
kpnall,34,kpnall_subtropical_no_dry_season
kpnall,33,kpnall_subtropical_distinctly_dry_summer
kpnall,32,kpnall_subtropical_distinctly_dry_winter
kpnall,31,kpnall_subtropical_moderately_dry_winter
kpnall,24,kpnall_desert_hot_persistently_dry
kpnall,23,kpnall_desert_hot_summer_drought
kpnall,22,kpnall_desert_hot_winter_drought
kpnall,21,kpnall_desert_warm_persistently_dry
kpnall,15,kpnall_grassland_hot_persistently_dry
kpnall,14,kpnall_grassland_hot_summer_drought
kpnall,13,kpnall_grassland_hot_winter_drought
kpnall,12,kpnall_grassland_warm_persistently_dry
kpnall,11,kpnall_grassland_warm_summer_drought
kpnall,9,kpnall_temperate_no_dry_season_hot_summer
kpnall,8,kpnall_temperate_moderately_dry_winter_hot_summer
kpnall,7,kpnall_temperate_distinctly_dry_and_hot_summer
kpnall,6,kpnall_temperate_no_dry_season_warm_summer
kpnall,5,kpnall_temperate_moderately_dry_winter_warm_summer
kpnall,4,kpnall_temperate_distinctly_dry_and_warm_summer
kpnall,3,kpnall_temperate_no_dry_season_mild_summer
kpnall,2,kpnall_temperate_distinctly_dry_and_mild_summer
kpnall,1,kpnall_temperate_no_dry_season_cool_summer
kpngrp,41,kpngrp_equatorial
kpngrp,35,kpngrp_tropical
kpngrp,32,kpngrp_subtropical
kpngrp,22,kpngrp_desert
kpngrp,13,kpngrp_grassland
kpngrp,3,kpngrp_temperate
seasrain,1,seasrain_summer_dominant_more_than_1200mm
seasrain,2,seasrain_summer_dominant_650_to_1200mm
seasrain,3,seasrain_summer_dominant_350_to_650mm
seasrain,4,seasrain_arid_less_than_350mm
seasrain,5,seasrain_summer_more_than_1200mm
seasrain,6,seasrain_summer_650_to_1200mm
seasrain,7,seasrain_summer_350_to_650mm
seasrain,9,seasrain_uniform_more_than_800mm
seasrain,10,seasrain_uniform_500_to_800mm
seasrain,11,seasrain_uniform_250_to_500mm
seasrain,13,seasrain_winter_dominant_more_than_800mm
seasrain,14,seasrain_winter_dominant_500_to_800mm
seasrain,15,seasrain_winter_dominant_250_to_500mm
seasrain,17,seasrain_winter_more_than_800mm
seasrain,18,seasrain_winter_500_to_800mm
seasrain,19,seasrain_winter_250_to_500mm
seasraingrp,2,seasraingrp_summer_dominant
seasraingrp,4,seasraingrp_arid
seasraingrp,6,seasraingrp_summer
seasraingrp,10,seasraingrp_uniform
seasraingrp,14,seasraingrp_winter_dominant
seasraingrp,18,seasraingrp_winter
clim.zones,1,clim_zones_hot_humid_summer
clim.zones,2,clim_zones_Warm_humid_summer
clim.zones,3,clim_zones_hot_dry_summer_mild_winter
clim.zones,4,clim_zones_hot_dry_summer_cold_winter
clim.zones,5,clim_zones_Warm_summer_cool_winter
clim.zones,6,clim_zones_mild_warm_summer_cold_winter
